ID,img_path,Description,Question,A,B,C,D,answer
TRAIN_000,./dataset/generated/images/scene_0.jpg,A group of people are sitting around a table with plates of food in front of them. They are enjoying a meal together.,What is the main activity in the image?,Eating,Drinking,Socializing,All of the above,D
TRAIN_001,./dataset/generated/images/scene_1.jpg,A man is riding a bicycle with a box on the back. He is wearing a red and blue jacket and a blue hat.,What is the man carrying on the back of his bicycle?,Boxes,Crates,Luggage,Trash,A
TRAIN_002,./dataset/generated/images/scene_10.jpg,A bowl of popcorn is sitting on a table in front of a window. There are also potted plants and a person walking by.,What is the person walking by?,A window,A potted plant,A car,A person,A
TRAIN_003,./dataset/generated/images/scene_100.jpg,"A group of people, including both men and women, are sitting on the grass in a field. They are gathered around a fire, enjoying each other's company.",What is the group of people doing in the image?,Sitting on the grass,Sitting on chairs,Sitting on the ground,Sitting on a bench,A
TRAIN_004,./dataset/generated/images/scene_1000.jpg,"Three women are standing together, holding wine glasses and smiling. They are dressed in elegant attire, and the scene appears to be set in a club or a similar social setting.",What is the main activity in the image?,Drinking wine,Dancing,Socializing,Smoking,A
TRAIN_005,./dataset/generated/images/scene_1001.jpg,"A group of people walking down a street, some of them are carrying backpacks.",What is the group of people walking down the street?,A group of men,A group of women,A group of children,A group of tourists,D
TRAIN_006,./dataset/generated/images/scene_1002.jpg,"A group of people are standing in an airport with their luggage, waiting to board a plane. They are wearing pink jackets and are carrying various types of luggage, including suitcases, backpacks, and handbags.",What color are the people's jackets in the image?,Pink,Green,Blue,Yellow,A
TRAIN_007,./dataset/generated/images/scene_1003.jpg,A man is filming a woman who is holding a camera. They are both standing in front of a building.,What is the woman holding?,Camera,Cell phone,Microphone,Laptop,A
TRAIN_008,./dataset/generated/images/scene_1004.jpg,"A group of people are walking up a hill, carrying backpacks. They are wearing hats and jackets, and some of them are smiling.",What is the group of people carrying in their backpacks?,Food,Water,Clothes,Cameras,A
TRAIN_009,./dataset/generated/images/scene_1005.jpg,"A room with a table and four chairs, with a cityscape visible through a window.",What is the main focus of the image?,The chairs,The cityscape,The table,The window,B
TRAIN_010,./dataset/generated/images/scene_1006.jpg,Four young women are posing for a picture in a park. They are smiling and appear to be enjoying their time together.,What is the main activity in the image?,Playing sports,Posing for a picture,Eating,Walking,B
TRAIN_011,./dataset/generated/images/scene_1007.jpg,"A group of people are sitting around a wooden picnic table, enjoying each other's company. They are laughing and having a good time.",What is the main activity of the people in the image?,Eating,Drinking,Laughing,Talking,B
TRAIN_012,./dataset/generated/images/scene_1008.jpg,A group of people are sitting on a hillside with their backpacks. They are smiling and enjoying their time together.,What is the group of people doing on the hillside?,Hiking,Camping,Sitting,Smiling,A
TRAIN_013,./dataset/generated/images/scene_1009.jpg,"Two women are standing in a kitchen, smiling and laughing. They are surrounded by various kitchen items, including bowls, cups, and spoons. One of the women is wearing an apron.",What is the primary activity in the image?,Cooking,Cleaning,Eating,Laughing,A
TRAIN_014,./dataset/generated/images/scene_101.jpg,"The image features a grassy field with a bird standing in the foreground. There are several birds in the background, and a beautiful sunset is visible in the distance. The scene is serene and picturesque.",What is the main subject of the image?,The bird,The sunset,The grassy field,The other birds in the background,A
TRAIN_015,./dataset/generated/images/scene_1010.jpg,"A car is driving down a country road with a forest in the background. The car is on a two-lane road, and there is another car following behind it.",What is the color of the car driving down the road?,Red,Blue,White,Black,A
TRAIN_016,./dataset/generated/images/scene_1011.jpg,"Three people are sitting on a blanket on the beach, enjoying the sunset. One man is sitting on the left side, another man is sitting in the middle, and a woman is sitting on the right side. They are all smiling and appear to be having a good time.",What is the main activity of the people in the image?,Swimming,Sunbathing,Surfing,Watching the sunset,D
TRAIN_017,./dataset/generated/images/scene_1012.jpg,A person is holding a cell phone and taking a picture of a beautiful landscape. The image is a panoramic view of a mountainous area with a person visible in the foreground.,What is the person holding in their hand?,Camera,Cell phone,Laptop,Remote control,B
TRAIN_018,./dataset/generated/images/scene_1013.jpg,"A woman is standing on a busy city street, holding a cell phone and eating a slice of pizza. She is surrounded by other people, and there are traffic lights in the background.",What is the woman holding in her hand?,A slice of pizza,A cell phone,A bag,A book,A
TRAIN_019,./dataset/generated/images/scene_1014.jpg,"A small stream of water is flowing through a rural area, surrounded by trees and a road. The stream is shallow and appears to be calm.",What is the primary element in the image?,Trees,Road,Stream,Grass,C
TRAIN_020,./dataset/generated/images/scene_1015.jpg,"The image features a beautiful mountain range with a lake in the foreground. The mountains are covered in snow, and the sun is setting, casting a warm glow on the scene. The reflection of the mountains can be seen in the lake, creating a serene and picturesque view.",What is the main subject of the image?,The lake,The mountains,The sunset,The reflection of the mountains in the lake,D
TRAIN_021,./dataset/generated/images/scene_1016.jpg,A man is taking a picture of a tree in a forest. He is using a cell phone to capture the image.,What is the man using to take the picture?,A camera,A cell phone,A digital camera,A film camera,B
TRAIN_022,./dataset/generated/images/scene_102.jpg,A green and black bird is perched on a branch in front of a leafy background.,What color is the bird's wing?,Green,Black,White,Yellow,A
TRAIN_023,./dataset/generated/images/scene_1027.jpg,Two women are sitting at a table with plates of food in front of them. They are enjoying a meal together.,What is the main focus of the image?,The women's faces,The food on the table,The table setting,The restaurant's ambiance,B
TRAIN_024,./dataset/generated/images/scene_1028.jpg,"A group of young people sitting on a bench, smiling and looking at their cell phones.",What is the group of people doing in the image?,Playing a game,Taking a selfie,Watching a video,Texting,D
TRAIN_025,./dataset/generated/images/scene_1029.jpg,"A family is gathered around a dining table, enjoying a meal together. They are eating pizza and salad, and there are various food items on the table.",What is the main food item being served at the table?,Pizza,Salad,Sandwiches,Pasta,A
TRAIN_026,./dataset/generated/images/scene_103.jpg,"A large cloud is rolling in over a field of grass, with a storm approaching. The sky is dark and the clouds are ominous.",What is the main subject of the image?,A field of grass,A large cloud,A storm approaching,A sunset,C
